Signature_name	Gene_list
CT_pdac_Atypical_duct	C19orf33,CEACAM1,CEACAM5,CEACAM6,CFTR,FXYD3,IFI27,KRT19,S100A4,S100A6,S100P,TFF1,TFF2,TFF3,TM4SF1
CT_Endocrine_Alpha	ARX,CRYBA2,DPP4,FEV,GC,GCG,GPR119,HMGB3,IRX2,KLHL41,LDB2,LOXL4,MAFB,PGR,PLCE1,PTGER3,RFX6,RGS4,SMARCA1,TM4SF4,TTR
CT_Endocrine_Beta	ADCYAP1,BMP5,CDKN1C,DLK1,DPP4,G6PC2,IAPP,INS,MAFA,MNX1,NPTX2,PDX1,PFKFB2,PIR,SIX2,SIX3,SMAD9,SYT13,TFCP2L1,myeloidR3
CT_Endocrine_Delta	BCHE,BHLHE41,CASR,DPP4,EHF,ERBB4,ETV1,FFAR4,FRZB,GABRB3,GABRG2,GHSR,HHEX,ISL1,KCNJ2,LCORL,LEPR,NKX6-3,PCSK1,PDLIM4,POU3F1,PRG4,RBP4,RGS2,SST
CT_Endocrine_Epsilon	ACSL1,AFF3,ANXA13,ARX,ASGR1,BHMT,BMP7,CDKN2A,EBF1,FRZB,GHRL,HEPACAM2,NPY1R,OLFML3,OPRK1,PCSK6,PHGR1,PROX1,PTGER4,SERPINA1,SPTSSB,TRPC4,VTN,ZKSCAN1
CT_Endocrine_Gamma	ABCC9,AQP3,ARX,CARTPT,CHN2,EGR3,ETV1,ID2,ID4,LMO3,MEIS1,MEIS2,PAX6,PPY,PTGFR,SERTM1,SLITRK6,SPOCK1,THSD7A,ZNF503
CT_Exocrine_Acinar	ALB,CEBPD,CEL,CELA2A,CELA3A,CPA1,CPA2,CREB3L1,YBX3,CTRB1,CTRB2,CUZD1,ERBB2,FOXP2,GATA4,LGR4,MECOM,NR5A1,NUPR1,OLFM1,PLA2G1B,PNLIP,PNLIPRP1,PRSS1,PRSS3P2,PTF1A,RBPJL,REEP5,REG1B,SPINK1,TMEM97,TOP2A,VTN,XBP1,ZFP36L1
CT_Exocrine_Acinar_idling	CAMK1D,CHN2,CHRM3,DTNA,FOXP2,INSR,LRIG1,MAP3K5,MECOM,SDK1
CT_Exocrine_Acinar_regenerating	AMY2A,CELA2B,CELA3A,CELA3B,CLPS,CPA1,CPA2,CPB1,CTRC,PNLIP,PRSS1,PRSS3,REG3A,REG3G,SPINK1,SYCN
CT_Exocrine_Acinar_secreting	REG1B,REG3A,REG3G
CT_Exocrine_Ductal	ALDH1A3,AMBP,ANXA4,APOL1,AQP1,BICC1,CA9,CEACAM6,CFTR,CLU,CREB5,CRISP3,CRP,DAB2,DEFB1,ERO1A,FXYD2,GLIS3,HLA-DQB1,KRT19,LEFTY1,LITAF,MMP7,MUC1,MUC5B,MUC6,NFIB,ONECUT2,PKHD1,PPARGC1A,REG1A,SCTR,SERPINA5,SERPING1,SLC4A4,SOX4,SPP1,TFF1,TFF2,TFF3,TSPAN8,WWTR1
CT_Immune_B_cell	CD19,CD1C,CD24,CD69,CD79A,CD79B,CD80,CD86,CR2,CXCR3,CXCR4,FAS,FCER2,MS4A1,PAX5,SKAP1
CT_Immune_B_cell_ab	MS4A1
CT_Immune_B_cell_mature	CD69,CD80,CD86,FCER2
CT_Immune_B_cell_memory	CD1C,CD24,CR2,CXCR3,FAS
CT_Immune_DC	CD4,CLEC9A,IL12B,ITGAE,ITGAM,ITGAX,PLD4,XCR1,ZFAT
CT_Immune_DC_cDC1	XCR1
CT_Immune_DC_cDC2	PLD4
CT_Immune_DC_mreg	IL12B
CT_Immune_DC_pDC	CD4,ZFAT
CT_Immune_Macrophage	AIF1,AQP9,C1QA,C1QB,C1QC,CD163,CD36,CD68,CD74,CD86,CPM,CSF1R,CYP27A1,FES,HLA-DPA1,HLA-DRA,HLA-DRB1,IFI44L,IL1B,LILRB2,LYVE1,LYZ,MARCO,MERTK,MR1,MRC1,MS4A4A,MS4A6A,NCF2,SCARF2,PTPRC,RBPJ,SIGLEC1,SLC11A1,TGFB1,TGFBI,TGFBR2,TNFRSF1B,TNFSF8,TYROBP,ZEB2
CT_Immune_Macrophage_M0	AQP9,CYP27A1,MARCO,NCF2
CT_Immune_Macrophage_M1	CD86,IFI44L,LILRB2,STAT1,TNFRSF1B,TNFSF8
CT_Immune_Macrophage_M2	CD163,FES,MAF,MRC1,MS4A4A,MS4A6A,SIGLEC1,TGFB1,TGFBI,TGFBR2
CT_Immune_Mast	CD69,CMA1,CPA3,FCER1A,HDC,KIT,TPSAB1,TPSB2,TPSD1
CT_Immune_Monocyte	C3AR1,CD163,CD68,CD86,CSF1R
CT_Immune_Neutrophil	CXCR2
CT_Immune_NK	CD247,GNLY,GZMA,GZMB,GZMK,IL2RB,KIR2DL1,KIR2DL3,KIR2DL4,KIR2DS4,KIR3DL1,KIR3DL2,KIR3DL3,NCAM1,NCR1,NKG7,PRF1
CT_Immune_Plasma	CREB3L2
CT_Immune_T_cell	ITGAE,CD247,CD3D,CD3E,CD3G,CD69,CD96,FOXP3,IL2RA,IL7R,NKG7,PTPRC,SELL,SKAP1,THEMIS,TRAC,TRBC1
CT_Immune_T_cell_CD4	CCR7,SELL
CT_Immune_T_cell_CD4	CD4,CD40LG
CT_Immune_T_cell_CD8	CD3D,CD3E,CD8A,CD8B,PDCD1
CT_Immune_T_cell_central	IL7R,SELL
CT_Immune_T_cell_effector	GZMA,GZMH
CT_Immune_T_cell_exhausted	CD274,ENTPD1,IDO1,LAG3,PDCD1,TIGIT
CT_Immune_T_cell_regulatory	CCR8,CTLA4,FOXP3,NT5E
CT_Stroma_Adipocyte	ACSL1,ADIPOQ,EBF1,FABP4,FOXO1,G0S2,GHR,LPIN1,PLIN1,PLIN2,PPARG
CT_Stroma_Endothelial_lymphatic	CCL21,FLT4,LYVE1,MMRN1,PDPN,PROX1,RELN
CT_Stroma_Endothelial_vascular	ANGPT2,B2M,BACE2,CD200,CD300LG,CD36,CD93,CDH5,CLDN5,EGFL7,EPHB4,ERG,ESAM,ESM1,ETS1,FLT1,HMOX1,IFI27,KDR,LDB2,NKX2-3,NOSTRIN,NOTCH4,PASK,PECAM1,PLVAP,PRDM1,PTPRB,RAMP3,RGCC,SLCO2A1,SMAD6,SNAI1,SOX18,TCF4,VWF
CT_Stroma_Fibroblast	ACTA2,AEBP1,APOD,CCN2,CFD,COL12A1,COL15A1,COL18A1,COL1A1,COL1A2,COL3A1,COL4A1,COL5A1,COL5A2,COL6A1,COL6A2,COL6A3,COL6A6,DCN,DDR2,FAP,FBLN1,FBN1,FN1,FOXF2,HEYL,HGF,IGFBP3,IGFBP5,IL33,IL6,LUM,MYH11,NEGR1,NOTCH3,PDPN,PTGDS,S100A4,SERPINE1,SFRP2,SLIT2,SNAI2,SPARC,TBX3,UACA,VIM,WNT5A
CT_Stroma_Pericyte	ACTA2,ANPEP,CSPG4,DES,MCAM,MYO1B,NOTCH3,PDGFRB
CT_Stroma_Schwann	CDH19,CRYAB,PMP22,S100B,SCN7A,SOX10
CT_Stroma_Smooth_muscle	ACTA2,ACTG2,CNN1,DES,GUCY1A1,GUCY1B1,MFAP2,MFAP4,MYH11,MYL9,MYOCD,PALLD,SMTN,TAGLN,TPM2,VCL
CT_Stroma_Stellate	ACTA2,COL1A1,COL1A2,COL4A1,COL4A2,COL5A2,COL6A3,DCN,DES,FABP4,FN1,ITGA1,ITGA7,LAMA2,LAMB1,LUM,NEGR1,NOTCH3,PDGFRB,POSTN,RGS5,SLIT2,SPARCL1,TIMP1
CT_pdac_collisson_classical	AGR2,ATP10B,CAPN8,CEACAM5,CEACAM6,ELF3,ERBB3,FOXQ1,FXYD3,GPRC5A,GPX2,LGALS4,MUC13,PLS1,S100P,SDR16C5,ST6GALNAC1,TFF1,TFF3,TMEM45B,TOX3,TSPAN8
