Signature_name	Gene_list
CAM_Angiogenesis	ANGPTL4,CD34,ESM1,KDR,PECAM1,VEGFA
CAM_ATF4	ASNS,ATF3,ATF4,DDIT3,GADD45A,GADD45B,PPP1R15A,TRIB3
CAM_Epigenetic_Enzymes_Modifiers	ATM,ATRX,AURORA-B,BMI1,BRAC1,DNMT1,DNMT3A,DNMT3B,DOT1L,EED,EZH1,EZH2,KDM1A,KDM5A,KDM5B,KDM6B,KMT2A,KMT2B,KMT2C,KMT2D,MSK1,MSK2,MST1,PBRM1,RING1A,RING1B,SMARCA2,SMARCA4,SMARCB1,SUZ12,TDG,TET1,TET2,TET3
CAM_Exclusion	AHCY,APP,ATP5D,ATP5G3,BOP1,BTF3,BZW2,C17ORF76-AS1,C19ORF48,C1QBP,C6ORF48,CACYBP,CCT3,CCT4,CCT6A,CCT7,CDCA7,CDK4,CHCHD2,CTPS1,DARS,DCTPP1,DDX21,EEF1B2,EEF1D,EEF1G,EEF2,EIF2S3,EIF3E,EIF3F,EIF3G,EIF3K,EIF3M,EIF4A1,ENO1,EXOSC5,FAM92A1,FARSA,FBL,FKBP4,GAS5,GGH,GNB2L1,GNL3,GPATCH4,GPI,HMGB1,HNRNPA1,HNRNPC,HNRNPH1,HNRNPM,HSPD1,IDH2,IFRD2,ILF2,ILF3,IMPDH2,ISYNA1,LDHB,LSM4,LSM7,LYPLA1,MAGEC1,MCM7,MDH2,MKI67IP,MRPL15,MRPL37,MRPL4,MRPS12,NACA,NCL,NDUFA11,NME1,NME2,NOLC1,NOP16,NPM1,NREP,PABPC1,PAICS,PFN1,PLEKHJ1,POLD2,POLR1D,POLR2E,PPA1,PPIA,PRMT1,PTMA,PUF60,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL13AP5,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL26,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL35,RPL36,RPL36A,RPL37,RPL37A,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS17L,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS3,RPS3A,RPS4X,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,RQCD1,RRS1,RSL1D1,RUVBL2,SAE1,SERBP1,SERPINF1,SET,SHMT2,SLC19A1,SLC25A13,SLC25A6,SMARCA4,SMIM15,SNHG15,SNHG6,SNRPB,SNRPC,SNRPD1,SNRPD2,SNRPE,SOX4,SRM,SSB,SSR2,TIMM13,TIMM44,TIMM50,TOP1MT,TPI1,TRAP1,TRIM28,TUBB,TYMS,UBA52,UCK2,UHRF1,UQCRFS1,UQCRH,VDAC2,XIST,ZFAS1
CAM_Exclusion_down	A2M,ACSL3,AEBP1,AGA,AHNAK,APOC2,APOD,APOE,APOL1,ARSA,ATP1A1,ATP1B1,ATP6V0C,B2M,C4A,CARD16,CAV2,CD151,CD44,CD47,CD58,CD59,CD63,CDH1,CDH19,CSPG4,CST3,CTSA,CTSB,CTSD,CTSL1,CTSO,CYP27A1,CYP4V2,DAG1,DDR1,EEA1,EMP1,EVA1A,FBXO32,FGFR1,FLNA,FOS,GAA,GATSL3,GJB1,GPNMB,GPR155,GPR56,GRN,GSN,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,HLA-H,HSPA1A,IFI27,IFI27L2,IFI6,IGFBP7,IGSF8,IRF4,ITGA3,ITGA7,KCNN4,LAMB2,LAMP2,LEF1-AS1,LGALS3,LGALS3BP,LGMN,LOC100126784,LOC100506190,LRPAP1,LY6E,LYRM9,MALAT1,MATN2,MCAM,MFGE8,MIA,MMP14,MPZ,MT2A,MTRNR2L1,MTRNR2L10,MTRNR2L2,MTRNR2L3,MTRNR2L4,MTRNR2L5,MTRNR2L6,MTRNR2L7,MTRNR2L8,MYO1D,NAV2,NEAT1,NFE2L1,NPC1,NPC2,NSG1,PDE4DIP,PERP,PROS1,PSAP,QPCT,RDH5,S100A1,S100A13,S100A6,S100B,SAT1,SCARB2,SDC3,SEC11C,SERINC1,SERPINA1,SERPINA3,SERPINE2,SGK1,SHC4,SLC26A2,SLC5A3,SLC7A8,SNX9,SORT1,SPON2,SPP1,STRIP2,STX7,SYNE2,TAPBP,THBD,TIMP1,TIMP2,TIMP3,TM4SF1,TMBIM6,TMED10,TMEM255A,TNFSF4,TPP1,TRIML2,TSC22D3,TSPYL2,TXNIP,TYR,UBC,VAT1,WBP2,XAGE1D
CAM_Gajewski	CCL2,CCL3,CCL4,CD8A,CXCL10,CXCL9,GZMK,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,ICOS,IRF1
CAM_Kamminga_EZH2	AHCY,AURKA,AURKB,CCNB2,CDCA5,CDCA7,CUL2,DBF4,DNTT,ECT2,EED,GMNN,H2AFZ,HAT1,IPO5,KPNA2,MAD2L1,MCM2,MCM3,MCM4,MKI67,NAP1L1,NEK2,NUSAP1,PCNA,POLE2,PPP1CC,PRC1,PRIM1,RBL1,RFC1,RPA3,RRM1,SETDB1,SMC2,SMC4,TACC3,TFDP1,TOP2A,TOPBP1,XPO1
CAM_Merck	B2M,BST2,CCL5,CD2,CD27,CD38,CD3D,CD3G,CD4,CD74,CD8A,CIITA,CRTAM,CX3CR1,CXCL10,CXCL13,CXCL9,CXCR6,FASLG,GPR18,GRAP2,GZMB,GZMK,HLA-B,HLA-C,HLA-DPB1,HLA-DRA,HLA-E,IDO1,IFNG,IGSF6,IKZF3,IL18,IL2RB,IL2RG,IRF1,JAML,JCHAIN,LAG3,LCK,LY9,NKG7,PTPN7,PTPRCAP,SAMHD1,SIT1,STAT1,TAGAP,TARP,TIGIT
CAM_MHCI_AP	B2M,HLA-A,HLA-B,HLA-C,NLRC5,PDIA3,PSMB8,PSMB9,TAP1,TAP2,TAPBP
CAM_Proliferation	APOB,AURKA,AURKB,BIRC5,BLM,BTD,BUB1,CCNB2,CCNE2,CDC45,CDC6,CDK5,CENPA,E2F1,ESPL1,FST,H2AFZ,KIF23,KIF2C,KPNA2,MAD2L1,NTN4,NUSAP1,ORC6,PKMYT1,PRC1,PSMD7,PTTG2,RACGAP1,SNRPA1,TK1,UBE2C,UBE2S,YWHAZ
