Signature_name	Gene_list
U.enteric_nervous_system.glia.none	ERBB3,GFAP,PLP1,S100B,SOX10
U.enteric_nervous_system.neuron.none	ELAVL3,ELAVL4,RET,SNAP25,UCHL1
U.epithelial.enterocyte.none	CBR1,EPHX2,FGF19,LCT,MEP1A
U.epithelial.enteroendocrine.mature	ADGRD1,AFP,BDNF,CCK,FABP5,GAL,GCG,GCH1,GIP,IAPP,NTS,PYY,SCGN,SST,TAC1
U.epithelial.enteroendocrine.none	CCK,CHGB,CPE,GFRA3,NEUROD1,VWA5B2
U.epithelial.enteroendocrine.progenitor	CLCA4,DLL1,GHRL,NEUROD1,NEUROD2
U.epithelial.epithelial.none	CLDN3,EPCAM,GUCA2A,KRT18,KRT8
U.epithelial.goblet.none	CCL9,MANF,TFF3
U.epithelial.microfold.none	ANXA5,CCL20,CTSH,GP2,MIER3,SOX8,UBD
U.epithelial.none.none	EPCAM
U.epithelial.paneth.none	LYZ2
U.epithelial.tuft.none	CD24,DCLK1,LRMP
U.immune.b_cell.cycling	CD19,CD38,MKI67,MS4A1,POU2AF1,PRDM1,PTPRC,TCL1A,TNFRSF13B
U.immune.b_cell.follicular	CD19,CD40,CXCR5,FCER2,MS4A1,TCL1A
U.immune.b_cell.memory	CD19,CD40,CXCR5,MS4A1,POU2AF1,TNFRSF13B
U.immune.b_cell.plasma-iga	CD38,POU2AF1,PRDM1,SDC1,TNFRSF13B
U.immune.b_cell.plasma-igg	CD38,IGHG1,POU2AF1,PRDM1,SDC1,TNFRSF13B
U.immune.dc.conventional_1	BATF3,CADM1,CCR6,CD4,CD40,CLEC9A,ID2,IDO1,PTPRC,XCR1
U.immune.dc.conventional_2	CCR6,CD4,CD40,CD86,CLEC10A,ID2,ITGAX,PTPRC
U.immune.dc.cycling	CD14,CD4,CLEC10A,MKI67,PRDM1,PTPRC
U.immune.dc.lymphoid	CCR7,CD40,ID2,IL7R,PTPRC
U.immune.dc.plasmacytoid	CD4,CXCR3,IRF4,SELL,TCL1A
U.immune.dendritic_cells.conventional_type_1	BATF3,CADM1,CLEC9A,IDO1,PTPRC,XCR1
U.immune.dendritic_cells.conventional_type_2	CD86,CLEC10A,PTPRC
U.immune.ilc.none	CCR6,ICOS,ID2,IL7R,PTPRC
U.immune.macrophage.lyve1	CD14,CD4,CLEC10A,FCGR3A,ITGAX,LYVE1,PTPRC
U.immune.macrophage.none	CD14,CD4,CLEC10A,ITGAX,PRDM1,PTPRC
U.immune.mast.none	KIT,MS4A2,TPSAB1,TPSB2
U.immune.monocyte.none	CD14,CD68,FCGR3A,ITGAX,PTPRC
U.immune.nk.none	CD38,FCGR3A,ID2,IFNG,KLRD1,NCR1,PRDM1,PTPRC
U.immune.t_cell.activated_cd4	CCR6,CD3D,ICOS,ID2,IL7R,PTPRC
U.immune.t_cell.cd8	CD3D,CD8A,ID2,IL7R,PRDM1,PTPRC
U.immune.t_cell.central_memory	CCR7,CD3D,IL7R,PTPRC,SELL
U.immune.t_cell.cycling_gamma-delta	CD38,ID2,IFNG,KLRD1,MKI67,NCR1,PRDM1,PTPRC
U.immune.t_cell.follicular_helper	CD3D,ICOS,IL7R,PRDM1,PTPRC
U.immune.t_cell.gamma-delta	CD3D,ID2,KLRD1,PRDM1,PTPRC
U.immune.t_cell.h1	CD3D,ID2,IL7R,PRDM1,PTPRC
U.immune.t_cell.h17	CCR6,CD3D,ID2,IL22,IL7R,PTPRC
U.immune.t_cell.treg	CD3D,FOXP3,ICOS,PRDM1,PTPRC,SELL
D20.C.b_cell.na	AFF3,ARHGAP15,BANK1,EBF1,MEF2C,PRKCB
D20.C.colonocyte.c1	ABCB1A,AHNAK,AQP8,ATP12A,ATP2B1,CA4,CEACAM20,CLIC5,CS,CYP3A9,DSG2,EPCAM,FBXO32,GGH,HIF1A,KRT20,KRT8,LYPD8,MARCH3,MEP1A,MGAT4A,MUC13,MXD1,MYH14,NLRP9,NOCT,NR3C2,NUDT4,PHLPP2,PLAC8,PMP22,PRDX6,PTPRH,RDH16,S100A6,SECTM1B,SELENOP,SLC15A1,SLC20A1,SLC26A2,SLC26A3,SLC6A8,SLC9A2,SLCO2A1,ST3GAL4,TCF7L2,TGM3,TMEM45B,TNS4,TRPM6,TSPAN1
D20.C.colonocyte.c2	ABCB1A,ACOX1,ALDH1A1,ATP1B1,ATP2B1,CAR1,CDH17,CDHR5,CEACAM1,CEACAM20,CORO2A,CYP3A9,EMP1,EPCAM,FA2H,FTH1,GCNT3,GUCA2A,HSD3B3,KRT20,LYPD8,MAOA,MEP1A,MGAT4C,MYH14,NEU1,PLEC,PROM1,RFK,SGK1,SLC10A2,SLC13A2,SLC26A2,SLC35D1,SLC6A14,SLC9A2,SLC9A3,SPTSSB,TMIGD1,UGDH
D20.C.cycling_ta.c1	CENPP,CEP128,CFTR,CIT,DIAPH3,ECT2,KCNQ1,KIF11,KIF15,KIF20B,KIF23,KNL1,MECOM,MIS18BP1,MKI67,NEIL3,SEMA5A,TOP2A
D20.C.cycling_ta.c2	CENPP,GMDS,TOP2A
D20.C.enteroendocrine.c1	ADCY2,CACNA1A,CACNA2D1,CADPS,CHGA,CHGB,CPE,CTNNA2,DDC,MAP1B,NRXN1,PTPRN2,RAB3C,RGS7,RUNX1T1,SCN3A,SLC18A1,SLC38A11,SNAP25,TPH1
D20.C.enteroendocrine.c2	ADCY2,CACNA1A,CACNB2,CADPS,CERKL,DLGAP2,ETV1,GCG,ITPR1,KCNH7,KCNMB2,MAP2,NRXN1,NTM,PAPPA2,PCLO,PTPRN2,PYY,RGS7,RIMBP2,SCN3A
D20.C.fibroblast.na	ADGRL3,ARHGAP10,BICC1,BMP4,BMP5,CELF2,CHSY3,COL14A1,COL3A1,COL5A2,DLC1,FMO2,LAMA2,NEGR1,OPCML,PCDH7,PID1,ROBO1,RORA,SLIT3,SOX5,SVEP1,TENM3,TGFBR3,ZEB2
D20.C.glia.na	ADAM23,ATP1A2,CDH19,CHL1,COL12A1,DTNA,GRIK2,IGSF11,IL1RAPL1,KCNQ5,KLHL29,LRRC4C,NCAM1,NKAIN2,PLCE1,PPP2R2B,RORA,SCN7A,SGIP1,SLC35F1,SNTB1,SORCS1,TGFB2,TMPRSS5,ZEB2,ZFHX4
D20.C.goblet.na	ACTB,ACTG1,ACTN4,AHNAK,AQP8,ATP12A,ATP1A1,ATP1B1,CA4,CALM1,CDHR5,CDKN1A,CEACAM1,CEACAM20,CKMT1,CLCA1,CLDN3,CLDN7,CLIC5,COX8A,DSG2,EIF2S2,EPCAM,EZR,FCGBP,FHL1,FTH1,GCNT1,GGH,ITM2B,JUND,KLF4,KRT19,KRT20,KRT8,LGALS3,LYPD8,MUC13,MXD1,PKM,PLAC8,PLEC,PMP22,PRDX6,REP15,S100A6,SCNN1A,SECTM1B,SELENOP,SLC15A1,SLC26A2,SLC26A3,SLC6A8,SPINK1,ST3GAL4,SVAL1,SYCN,TFF3,TGM3,TSPAN1,ZG16
D20.C.lymphatic.na	CALCRL,CP,ELK3,FMNL2,GALNT18,KLHL4,LAMA4,LYVE1,MAF,MMRN1,NTN1,NXN,PARD6G,PROX1,RELN,RHOJ,SEMA3D,THSD7A,TIMP3,WIPF3
D20.C.macrophage.na	F13A1,MRC1,MYO1F,PID1,TBXAS1,ZEB2
D20.C.mesothelial.na	AEBP1,BNC2,C3,DCN,EFEMP1,EFNA5,FMO2,GAS1,GPM6A,IGFBP6,MEIS1,MEIS2,PLXNA4,RARRES2,SULF1,TM4SF1,WDR17
D20.C.myocyte.c1	ATP2B4,CACNA1C,CACNA2D1,CACNB2,CALD1,CHRM2,DLC1,DMD,ENAH,FOXP2,KCND3,LMOD1,MAGI2,MEIS2,MSRB3,MYH11,PCDH7,PDLIM3,PGM5,RBPMS,RYR2,RYR3,SAMD4A,SEMA3A,SGCD,SNTG2,SYNPO2,ZFPM2
D20.C.myocyte.c2	ARHGAP6,ATP2B4,AUTS2,CACNA1C,CACNA1E,CACNA2D1,CACNB2,CALD1,DLC1,DMD,FILIP1,FNBP1,FOXP2,FRMD6,ITGA1,KCNIP1,KCNMA1,KLHL32,LPP,LRRC49,MAGI2,MEIS1,MEIS2,MSRB3,MYH11,NIBAN1,NXN,PDE3A,PGM5,PPM1L,PPP1R12A,PPP1R12B,RBPMS,RORA,RYR3,SGCD,SLC24A3,SLC8A1,SNTG2,SORBS1,SPARCL1,SVIL,SYNPO2,TNS1,TSHZ2,ZBTB16,ZBTB20
D20.C.neuron.c1	ADGRB3,AGBL4,AKAP6,ANK2,CADPS,CELF4,CNTN1,CTNNA2,CTNND2,DGKI,DLG2,DPP6,DSCAM,ELAVL4,ERC2,FGF13,FHOD3,FSTL5,GABRB3,GARNL3,GRIA4,KCNC2,KCNQ3,KHDRBS2,LRFN5,MAGI2,MAP1B,MAPK10,MDGA2,MYT1L,NAV3,NCAM1,NCAM2,NDST4,NRXN1,PCBP3,PCDH15,PCLO,PCSK2,PPFIA2,RAB3C,RBMS3,RIT2,RTN1,SGIP1,SNAP25,SNHG11,SYT1,UNC79
D20.C.neuron.c2	SCG2
D20.C.stem.c1	CERS6,CFTR,HMGCS2,HTR4,KCNQ1,MECOM,PDE8B,PIGR,PTPRD,PTPRK,SATB2,SEMA5A,SLC12A2
D20.C.stem.c2	B4GALNT3,CAMK1D,CFTR,ESRRG,HNF4G,HTR4,MECOM,NXPE2,PDE3A,PDE7A,PIGR,PTPRK,SATB2,SEMA5A,SLTM,ST6GALNAC6,WDR89
D20.C.t_cell.na	ARHGAP15,PTPRC,SKAP1,ST6GALNAC3
D20.C.ta.c1	5330417C22RIK,AGR2,C1GALT1,CA8,CHN2,CHRM3,CREB3L1,EHF,ERN2,FAM3D,FUT8,GALNT10,GALNT7,GCC2,GFPT1,GMDS,GNE,HEPACAM2,ICA1,KCNMA1,KLF12,MCTP1,MGAT5,NIPAL2,PDXDC1,PDZRN3,PLCB1,PLCB4,PTPRN2,PTPRT,RAPGEF5,RRBP1,SIDT1,SLC12A8,SPDEF,ST3GAL3,SYBU,SYTL2,TNFAIP8,TOX,TSC22D1,ZDHHC14
D20.C.ta.c2	ABCB1A,ADK,AKR1C19,ATP2B1,ATRNL1,CAR1,CHD9,CORO2A,DPYD,ERBIN,FA2H,FAM162A,FKBP5,HMGCS2,HSD3B3,MAOA,MGAT4C,MIER1,MYO1D,NR1H4,NR3C2,PAPSS2,PBX1,PCSK5,PDE3A,PPARA,PPARG,PRKCA,PROM1,PTPRD,RBM47,SELENBP1,SLC35D1,SLC8A1,UGDH,VDR
D20.C.ta.c3	5330417C22RIK,ATP2A3,ATRNL1,BAIAP2L1,BCAS1,CLCA1,FCGBP,FER1L6,FUT8,GALNT10,GALNT7,HEPACAM2,HSD11B2,INPP4B,IQGAP2,KCNMA1,MGAT5,MYO5C,NR3C2,PDE4D,PLCB1,PTPRN2,RAB27B,REP15,SCIN,SIDT1,SLC4A7,SRGAP1,ST6GAL1,SVAL1,SYTL2,TNFAIP8,TSC22D1
D20.C.ta.c4	5330417C22RIK,ABCB1A,ADK,AKAP13,ATP8B1,ATRNL1,FAM3D,FKBP5,FUT8,GALNT7,GFPT1,GMDS,HMGCS2,HSD3B3,KCNMA1,LUC7L2,MAGI1,MGAT5,NR3C2,PDXDC1,PIP5K1B,PRKCA,PTPRD,TNFAIP8,TOX
D20.C.ta.c5	ACTB,ACTG1,AHNAK,ALDH2,ANO1,ATP1A1,ATP1B1,B3GNT7,CAR2,CDH1,CKMT1,COX8A,EEF1A1,ESRRG,FTH1,FTL1,HAO2,HINT1,KRT19,KRT8,LYPD8,NME7,NRG1,PIGR,PRDX6,S100A6,SCD2,SLC26A2,SLC5A8,SLC6A14,SYCN,TGM3,TGOLN2,TSPAN1,WDR89
D20.C.ta.c6	5330417C22RIK,FAM3D,FUT8,GALNT7,GMDS,GOLPH3L,KCNMA1,NFIA,PDE4D,PDXDC1,PTPRK,SLC12A2,SLC12A8,ST3GAL6,SVAL1,TNFAIP8,TOX
D20.C.ta.c7	ACTB,ACTG1,ALDOA,ATP1A1,ATP1B1,ATP5F1A,ATP5F1B,BSG,CAR1,CEACAM1,CHD9,CLDN7,COX6A1,COX8A,EEF1A1,EEF2,EPCAM,FTL1,GUCA2A,HSPA8,KRT19,KRT8,LGALS3,LGALS4,LYPD8,MUC13,NKAIN2,PIGR,PRDX6,PSAP,S100A6,SLC25A5,SLC26A2,TGOLN2,TMSB4X,TSPAN1,WDR89,ZG16
D20.C.tuft.na	CHN2,DCLK1,DGKI,FYB1,HCK,HPGDS,IL13RA1,INPP5D,ITPR2,LRMP,MAP2,MYO1B,NAV2,NEBL,PLCG2,POU2F3,PPP3CA,PSTPIP2,RGS13,RUNX1,SLC9A9,ST18,STRIP2,TANC2
D20.C.vascular.na	ARHGAP31,CALCRL,DNM3,EBF1,ELN,FGD5,FLT1,HEG1,LDB2,LRRC8C,PREX2,PRKCH,PTPRB,PTPRM
J20.immune.b_cell.follicular	ADAM28,AFF3,BANK1,BCL11A,CD19,CD22,CD37,CD52,CD72,CD74,CD79B,CD83,CXCR4,DRAM2,FCER2,FCMR,FCRL1,HVCN1,IGHM,IL4R,IRF8,LAPTM5,LIMD2,LTB,MEF2C,MS4A1,NCF1,NIBAN3,RCSD1,RNASE6,SELL,SNX2,STX7,SWAP70,TCL1A,TNFRSF13C,TSPAN13,VPREB3,YBX3
J20.immune.b_cell.iga_plasma	ALG5,ANKRD28,CCPG1,CCR10,CD27,CD63,CHPF,CLIC4,CREB3L2,CRELD2,DDOST,DERL3,DNAJB9,DNAJC3,EAF2,ERGIC3,ERLEC1,FCRL5,FKBP2,FNDC3B,GMPPB,GNG7,GSTP1,HDLBP,HERPUD1,HM13,HSP90B1,HSPB1,ITM2C,JCHAIN,KDELR1,KDELR2,LGALS1,LMAN1,LMAN2,MANF,MYDGF,MZB1,NME1,NUCB2,P4HB,PDIA4,PDIA6,PLPP5,POU2AF1,PRDX4,PYCR1,RABAC1,RASGRP3,RPN1,RPN2,RRBP1,SDC1,SDF2L1,SEC11C,SEC61B,SEL1L,SIL1,SLAMF7,SPAG4,SPATS2,SPCS1,SPCS2,SPCS3,SSR3,SSR4,TIMP1,TMED10,TMED9,TMEM205,TMEM208,TNFRSF17,TPD52,TRIB1,TXNDC11,TXNDC15,UAP1,UBE2J1,WNT10A,XBP1
J20.immune.b_cell.igg_plasma	ALG5,BHLHE41,CCPG1,CCR10,CD27,CD38,CHPF,CREB3L2,CRELD2,DERL3,DNAJC3,EAF2,ERLEC1,FBXW7,FCRL5,FKBP2,FNDC3A,FNDC3B,HDLBP,HM13,HSP90B1,IGHG1,ITGB7,ITM2C,JCHAIN,KDELR2,LMAN1,MANF,MYDGF,MZB1,NME1,PDIA4,PDIA6,PLPP5,POU2AF1,PRDX4,RRBP1,SDC1,SDF2L1,SEC11C,SEL1L,SIL1,SLAMF7,SPAG4,SPATS2,SPCS3,SSR3,TNFRSF17,TOR3A,TRIB1,TXNDC11,TXNDC15,UBE2J1,XBP1
J20.immune.b_cell.memory	ADAM28,AIM2,ARHGAP24,BANK1,BCL11A,BLK,CD19,CD22,CD24,CD37,CD74,CD79B,CD83,CXCR5,DRAM2,EZR,FCRLA,IRF8,LAPTM5,LTB,LY86,LY9,MARCKSL1,MEF2C,MS4A1,P2RX5,PDLIM1,PKIG,POU2F2,REL,RGS2,SMARCB1,SMIM14,SPIB,SWAP70,SYPL1,TCF4,TNFRSF13B,TNFRSF13C,VPREB3
