Signature_name	Gene_list
D20.C.b_cell.na	AFF3,ARHGAP15,BANK1,EBF1,MEF2C,PRKCB
D20.C.colonocyte.c1	ABCB1A,AHNAK,AQP8,ATP12A,ATP2B1,CA4,CEACAM20,CLIC5,CS,CYP3A9,DSG2,EPCAM,FBXO32,GGH,HIF1A,KRT20,KRT8,LYPD8,MARCH3,MEP1A,MGAT4A,MUC13,MXD1,MYH14,NLRP9,NOCT,NR3C2,NUDT4,PHLPP2,PLAC8,PMP22,PRDX6,PTPRH,RDH16,S100A6,SECTM1B,SELENOP,SLC15A1,SLC20A1,SLC26A2,SLC26A3,SLC6A8,SLC9A2,SLCO2A1,ST3GAL4,TCF7L2,TGM3,TMEM45B,TNS4,TRPM6,TSPAN1
D20.C.colonocyte.c2	ABCB1A,ACOX1,ALDH1A1,ATP1B1,ATP2B1,CAR1,CDH17,CDHR5,CEACAM1,CEACAM20,CORO2A,CYP3A9,EMP1,EPCAM,FA2H,FTH1,GCNT3,GUCA2A,HSD3B3,KRT20,LYPD8,MAOA,MEP1A,MGAT4C,MYH14,NEU1,PLEC,PROM1,RFK,SGK1,SLC10A2,SLC13A2,SLC26A2,SLC35D1,SLC6A14,SLC9A2,SLC9A3,SPTSSB,TMIGD1,UGDH
D20.C.cycling_ta.c1	CENPP,CEP128,CFTR,CIT,DIAPH3,ECT2,KCNQ1,KIF11,KIF15,KIF20B,KIF23,KNL1,MECOM,MIS18BP1,MKI67,NEIL3,SEMA5A,TOP2A
D20.C.cycling_ta.c2	CENPP,GMDS,TOP2A
D20.C.enteroendocrine.c1	ADCY2,CACNA1A,CACNA2D1,CADPS,CHGA,CHGB,CPE,CTNNA2,DDC,MAP1B,NRXN1,PTPRN2,RAB3C,RGS7,RUNX1T1,SCN3A,SLC18A1,SLC38A11,SNAP25,TPH1
D20.C.enteroendocrine.c2	ADCY2,CACNA1A,CACNB2,CADPS,CERKL,DLGAP2,ETV1,GCG,ITPR1,KCNH7,KCNMB2,MAP2,NRXN1,NTM,PAPPA2,PCLO,PTPRN2,PYY,RGS7,RIMBP2,SCN3A
D20.C.fibroblast.na	ADGRL3,ARHGAP10,BICC1,BMP4,BMP5,CELF2,CHSY3,COL14A1,COL3A1,COL5A2,DLC1,FMO2,LAMA2,NEGR1,OPCML,PCDH7,PID1,ROBO1,RORA,SLIT3,SOX5,SVEP1,TENM3,TGFBR3,ZEB2
D20.C.glia.na	ADAM23,ATP1A2,CDH19,CHL1,COL12A1,DTNA,GRIK2,IGSF11,IL1RAPL1,KCNQ5,KLHL29,LRRC4C,NCAM1,NKAIN2,PLCE1,PPP2R2B,RORA,SCN7A,SGIP1,SLC35F1,SNTB1,SORCS1,TGFB2,TMPRSS5,ZEB2,ZFHX4
D20.C.goblet.na	ACTB,ACTG1,ACTN4,AHNAK,AQP8,ATP12A,ATP1A1,ATP1B1,CA4,CALM1,CDHR5,CDKN1A,CEACAM1,CEACAM20,CKMT1,CLCA1,CLDN3,CLDN7,CLIC5,COX8A,DSG2,EIF2S2,EPCAM,EZR,FCGBP,FHL1,FTH1,GCNT1,GGH,ITM2B,JUND,KLF4,KRT19,KRT20,KRT8,LGALS3,LYPD8,MUC13,MXD1,PKM,PLAC8,PLEC,PMP22,PRDX6,REP15,S100A6,SCNN1A,SECTM1B,SELENOP,SLC15A1,SLC26A2,SLC26A3,SLC6A8,SPINK1,ST3GAL4,SVAL1,SYCN,TFF3,TGM3,TSPAN1,ZG16
D20.C.lymphatic.na	CALCRL,CP,ELK3,FMNL2,GALNT18,KLHL4,LAMA4,LYVE1,MAF,MMRN1,NTN1,NXN,PARD6G,PROX1,RELN,RHOJ,SEMA3D,THSD7A,TIMP3,WIPF3
D20.C.macrophage.na	F13A1,MRC1,MYO1F,PID1,TBXAS1,ZEB2
D20.C.mesothelial.na	AEBP1,BNC2,C3,DCN,EFEMP1,EFNA5,FMO2,GAS1,GPM6A,IGFBP6,MEIS1,MEIS2,PLXNA4,RARRES2,SULF1,TM4SF1,WDR17
D20.C.myocyte.c1	ATP2B4,CACNA1C,CACNA2D1,CACNB2,CALD1,CHRM2,DLC1,DMD,ENAH,FOXP2,KCND3,LMOD1,MAGI2,MEIS2,MSRB3,MYH11,PCDH7,PDLIM3,PGM5,RBPMS,RYR2,RYR3,SAMD4A,SEMA3A,SGCD,SNTG2,SYNPO2,ZFPM2
