Signature_name	Gene_list
scLung_Alveolar	RP5-1097P24.1,MAGEA12,AP000593.7,CASC19,LINC00392,C6ORF15,KCNK9,CLEC2L,MAGEA1,CALB1,MAGEA11,ATP13A5,LINC00668,DDC,MAGEA9B,SOST,SLC47A2,CSAG1,SOHLH1,RP1-27K12.2,PRR5-ARHGAP8,MAGEA6,CKMT1B,STEAP1B,PKP1,CCNA1,CYP4F11,DYNC1I1,MRAP2,HOXA10,WDR72,CERS3,SPRR2A,TRIM16L,CALML3,VSNL1,SOX2,DEFB126,CHODL,TPRG1,SHC4,NTRK2,UCHL1,SERPINB5,FAM71D,PSAT1,WIPF3,GSTA1,WDR66,PVALB,ELOVL4,IL1R2,SPHK1,TNFSF9,CHST7,NPM3,CDCA7L,NME2,DTD1,HTATIP2,GGCT,LAGE3,POP7,HSD17B10,TOR3A,MAPK13,EIF5A,NAA50,BUD31,CACYBP,DLAT,SF3B4,TOMM22,PGK1,RHEB,PSMA1,DDT,PSMC6,PSMB1,RBM18,NDUFS6,PPIA
scLung_Alveolar_1	RP11-476D10.1,PLA2G4F,CITED1,RP11-352D13.6,SLC5A8,LGI3,HHIP,SCN1A,AGTR2,DPCR1,RP11-793H13.3,CHIA,AC090616.2,CPB2,RP3-340B19.3,RASGRF1,WIF1,ZNF385B,CTD-2589M5.4,TMEM213,AC079630.2,PCSK2,LRP2,SLCO4C1,SCTR,IRX6,DMBT1,NCMAP,NECAB1,PLA2G1B,SLC26A9,CNR1,CACNA2D2,SHISA2,AC079630.4,SLC46A2,RP11-259K15.2,AARD,ROS1,HLF,SLC22A31,ACOXL,LRRC36,VEPH1,ALOX15B,HHIP-AS1,PEBP4,TTN,MFSD2A,ALPL,RBPMS-AS1,SLC22A3,FASN,STEAP4,ACADL,SLC26A5,NRGN,PPP1R1B,KIAA1324L,KCNJ15,FMO5,FGGY,DUOX1,TMEM163,BMP2,PARM1,PTPN13,SDR16C5,CA2,RHOBTB2,CSF3R,SFTA3,LMO3,ETV1,SELENBP1,GOLT1A,ANK3,SERPINF2,MLPH,ETV5,TMEM125,TMEM164,DHCR24,PXMP4,MAOA,GPR160,GSTA4,MID1IP1,DPP4,CRNDE,AK1,SECISBP2L,NECAB3,DRAM1,ACADSB,SFTA2,ZDHHC3,MBIP,PMM1,TMEM92,C2,SH3YL1,TMEM243,GLCCI1,SYNE1,CITED2,HSD17B4,RNF145,MCTP2,EPHX1,ATP1A1,AKAP13,SPTSSA,NPC2,VAPA
scLung_Alveolar_2	ACVR2B-AS1,GALNTL6,LGALS4,GNMT,IYD,ACSM3,AC009403.2
scLung_Alveolar_3	RP11-312J18.6,RBP2,RP1-78O14.1,FBXL16
scLung_Alveolar_4	BAAT,ALOXE3,SCUBE3,ATP10B,ORM2,RP4-710M16.2,VWA2,MYBPC2,AADAC,ORM1,C11ORF52,RP11-320N7.2,LL22NC03-75H12.2,SULT1C2,CXCL14,INPP5J,FOXA2,MACROD2,RANBP17,VSTM2L,FAM20A,TSPAN1,PRKCI,PRR15L,C5ORF38,HLA-G,MACC1,STARD10,TBCEL,TP53INP1,TSPAN3,TRANK1,FAM120A,HMGN3,TRAM1,MBNL1,CELF1,TRAPPC1,WDR83OS
scLung_Alveolar_5	ANKRD1,RP11-141J13.5,WNT3A,UPK3B,MYRF,CTNND2,FAM189A2,LINC00162,SH3GL3,ITLN2,MS4A15,SLC1A1,FXYD4,C10ORF67,SCNN1G,GPM6A,SCEL,KRT4,MATN3,CLIC5,CST5,RP11-27M24.1,TTLL7,RS1,COL4A3,CLDN18,NCKAP5,FAM46B,TMEM255A,KLK10,SEMA5A,AGER,MMP24,SUSD2,TPPP,TNNC1,GGTLC1,GGT1,RTKN2,ANKRD29,AQP4,SNX22,SULT2B1,RRAD,PARD6B,TMEM139,WFS1,CYP4B1,GCNT4,LAMA3,ARHGEF26,GKN2,DOK7,VSIG2,MAP2,NTM,PLCXD2,DKKL1,TMPRSS2,SCD5,LAMC2,C1ORF167,PLLP,HSD17B6,AATK,DUSP7,SCNN1B,COL4A4,NRG1,ATP13A4,OSGIN2,CST6,ITPKC,WWC2,DAPK2,ANXA3,SLC39A8,CDKN2B,C1ORF116,CEACAM6,NEBL,LMO7,CGN,C1ORF198,MYH14,C10ORF107,ADRB2,CADM1,SFTA1P,SEMA3B,RND1,FAM134B,ITGB6,PCYOX1,HBEGF,CFL2,GPRC5A,MYO1B,EMP2,LDLR,FADS3,PAQR6,PTGS2,EPB41L5,CXADR,SPRYD7,SFN,ALCAM,CLDN4,RAB11FIP1,SDC4,LIMCH1,UNC13D,FAM105A,ADIRF,ELF3,MGLL,CAV2,CYBRD1,CLDN7,ATF3,SCNN1A,TES,PGM1,UBL3,PDLIM2,DDR1,CCDC24,RALGDS,HPCAL1,NEDD9,BTG3,CYSTM1,LBH,CAPN2,NINJ2,STK17A,ANKRD13A,GADD45B,SPAG9,DSTN,CDK13,CD47,CD81,BLVRB,PRDX5,FAM96B,EIF4G2,MYL12B
scLung_Alveolar_6	CYP2F1,CYP2A13,BPIFB2,KLK12,KLK13,TF,ERN2,BPIFB1,FAM159B,HSD17B2,RP13-870H17.3,MUC5B,CTD-2015G9.2,GSTA2,BPIFA1,SAA4,PPP1R1A,FAM150A,LTF,FAM181A,CAPN13,AQP5,CXCL6,PLEKHS1,KLK11,BPIFA2,CFTR,RP11-469H8.6,SAA2,CCNO,TMEM59L,RP11-319E16.2,CLDN8,KIAA1324,SLC4A4,CP,PCSK1N,TMEM45A,PCP4,PRSS12,CLDN10,TSPAN8,CRYM,CDH26,CYP2J2,MFSD4,FAM3D,CXCL1,SPDEF,FGFR2,CRLF1,SUSD4,SAA1,ELF5,HP,MUC4,SLC44A4,LCN2,MESP1,TMC5,AGR2,CAPS,DUSP23,TC2N,TMEM205,CHD2
scLung_Alveolar_7	SPOCK3,MMP10,NGFR,FAT2,MMP1,SYT8,CHST9,EYA2,RASSF10,DLK2,NTF3,NPTXR,TP63,KRT5,UGT1A1,NPM2,GJB5,NTF4,SOX9,TNS4,FHOD3,NSG1,TMEM40,GLB1L3,GPR87,COL7A1,ARG2,KCTD1,RIPK4,FERMT1,CACHD1,RP11-1275H24.1,CLDN1,CDH3,CYP24A1,MEF2C-AS1,IRF6,MDS2,IGFBP6,GYLTL1B,PRRG2,GDF15,F3,SH2D3A,EGFR,SRGAP3,ITGB4,ITGA2,RNF43,HOOK1,PHYHD1,DFNA5,RGS12,RIC3,SLC22A18AS,MPZL2,KCNN4,ATP1B1,C16ORF74,XPR1,LIMA1,SERTAD4-AS1,SYTL1,TMEM68,GNAI1,SERINC2,AQP3,BCAM,GCNT1,EGR1,NDFIP2,C1ORF132,RP11-629O1.2,LDLRAP1,SEMA4A,CLSTN1,SCPEP1,TSC22D1,EML2,TGIF1,SLC1A5,TP53TG1,POLR1D,KMT2E,DDOST,EIF3F
scLung_B_cell	FMR1NB,CLCA4,AMTN,RP11-314N14.1,DCAF4L2,RP11-255G12.2,CTAG2,LINC00221,STATH,TMPRSS11D,RP11-13K12.2,PAGE5,SERPINB13,TMPRSS11A,C12ORF54,TP53AIP1,KRT13,CAPN14,AC009410.1,COL4A6,LMO1,CTD-2311M21.3,HOXD13,RP11-81H3.2,GBP6,KRT31,IL36G,SPRR3,GJB6,TNNI3,NTS,HIST1H3G,AC098973.2,DAPL1,SATB2,NMU,DQX1,PITX1,SPRR1B,DEGS2,SLC16A9,FAM171A2,TNNT1,MEX3D,TMPRSS4,ALYREF,FAM166B,LSR,STK11,PVRL4,CCDC58,ERBB2,INTS3,MTA3,PTK7,FLYWCH2,PLCH2,ZSWIM4,HIST1H2BD,C5ORF51,SIPA1L3,BTBD11,CECR5,S100A14,FUT8,MKNK2,PABPN1,LSM1,MARCKSL1,NUTF2,TMCO1,TMEM256,EIF4EBP1,OCIAD2,GID8,SNRNP40,INO80E,PCBP2,PPP4C,RPS19BP1,POLDIP2,TUSC2,C8ORF76,EIF6,MRPS16
scLung_B_cell_1	RP11-164H13.1,RP11-381P6.1,WNT16,XXBAC-BPG154L12.4,LINC00494,RP11-624C23.1,FCRL4,RP11-693J15.5,RP11-445F6.2,RP11-297B17.3,LY86-AS1,CNR2,OSTN-AS1,LINC00926,ABCB4,FCRLA,CD19,FCRL2,FCER2,AC079767.4,STAG3,COL19A1,FAM177B,UGT2B17,IGHE,CXCR5,CD22,C12ORF42,UGT8,LY9,CLECL1,RP11-960L18.1,CD180,GPR18,PARP15,HVCN1,FAM159A,RALGPS2,QRSL1,INPP5D,ORAI2,MICAL3,RP11-796E2.4,RP11-35G9.3,RCSD1
