Signature_name	Gene_list
PDAC.Chiji.Acinar	ALB,AMY2A,AMY2B,ANPEP,AQP8,AZGP1,BACE1,C2CD4B,CBS,CEL,CELA2A,CELA2B,CELA3A,CELA3B,CLPS,CLPSL1,CPA1,CPA2,CPB1,CTRB1,CTRB2,CTRC,CTRL,CUZD1,DPEP1,ERP27,FGL1,GAMT,GNMT,GP2,GPHA2,GPT2,GSTA1,GSTA2,IMPA2,KLK1,LGALS2,MT1H,NUCB2,P4HB,PABPC4,PDIA2,PLA2G1B,PNLIP,PNLIPRP1,PRDX4,PRSS1,PRSS3,RBPJL,REG1A,REG1B,REG3A,REG3G,SEL1L,SERPINI2,SLC39A5,SLC43A1,SPINK1,SYCN,TEX11,TMED6,TMEM97,TPST2
PDAC.Chiji.Bcell	ADAM28,AFF3,AIM2,ARHGAP24,ATP6V0C,BANK1,BCAS4,BCL11A,BIRC3,BLK,BLNK,CD19,CD22,CD37,CD72,CD79A,CD79B,CD83,EEF1B2,EEF1G,EZR,FCER2,FCMR,FCRLA,GAS5,GNG7,HLA-DOB,HVCN1,IGHD,IGHM,IGKC,IRF8,JCHAIN,LIMD2,LINC-PINT,LINC00926,LY9,LYL1,MS4A1,NOP53,ORAI2,P2RX5,PDE4B,POU2AF1,POU2F2,PPM1K,PTMA,RACK1,RALGPS2,RCSD1,REL,RPL13A,RPS11,RPS17,RPS20,RPS5,RUBCNL,SEPTIN6,SMIM14,SNHG29,SPIB,STK17A,TCL1A,TNFAIP8,TNFRSF13B,TNFRSF13C,UCP2,VPREB3
PDAC.Chiji.Ductal_1	ADRA2A,AFDN,AHCYL1,AKAP7,ALDH1A1,ALDH3A2,ALKAL2,AMBP,ANXA3,ANXA9,ATP1A1,ATP5F1A,ATP5F1C,ATP5F1D,ATP5IF1,ATP5MC2,ATP5MD,ATP5MF,ATP5PF,ATP5PO,BEX3,BEX4,BICC1,C12ORF75,C6,CA2,CAV2,CCDC198,CCDC9B,CCL2,CCND1,CDC42EP1,CETN2,CFTR,CITED4,CLDN1,CLDN10,CLDN3,CLU,CNKSR3,COMTD1,COX20,CRYZ,CXADR,CYS1,DAPL1,DCDC2,DEFB1,DMKN,DSP,ECHDC2,ENC1,EPHB6,ERICH5,FAIM,FBXO21,FGFR2,FGFR3,FGGY,FLRT2,GLIS3,GMNN,GMPR,GRB14,GTF2H5,GTF2I,HEBP1,HHEX,HMGN3,HNF1B,HOMER2,HSD17B2,IL20RA,JCAD,KCNJ15,KCNJ16,KIF12,LEFTY1,LINC00671,LURAP1L,MAGI1,MAOA,MEIS1,METTL7A,MMP24OS,MORN2,MPC2,MUC6,NFIA,NOTCH2NLA,NPY1R,NTRK2,PBX1,PDGFD,PEBP1,PHGDH,PKHD1,PLPP2,PPP1R1B,PROX1,PTP4A1,RAB3IP,RAMP1,RHOBTB3,RIC3,S100A13,SAT2,SCD5,SCTR,SERPINA1,SERPINA4,SERPINA5,SERPINA6,SFRP5,SH3YL1,SLC17A4,SLC37A4,SLC3A1,SLC44A3,SLC4A4,SORBS2,SOX6,SOX9,TCEA3,TCEAL9,TESC,TFPI2,TNFRSF12A,TRPV6,TSPAN6,TSTD1,TTLL7,TTYH1,TUSC3,UGT2A3,VEPH1,VTCN1,VTN,WDR74,WNK2,WWC1,ZBTB20
PDAC.Chiji.Ductal_2	ABHD2,ADAM9,AGR2,AGR3,AHNAK2,AKR1B10,AMN,ANXA10,ANXA2,APOL1,ARL14,ASPH,BACE2,C15ORF48,C19ORF33,CAMK2N1,CAPN8,CDH1,CEACAM5,CEACAM6,CLDN18,CLDN4,CLDN7,CLTB,COL17A1,CST6,CTSE,CXCL17,CXCL5,CYP3A5,CYSTM1,DSG2,DUOX2,DUOXA2,ERBB3,F3,FHL2,FXYD3,GABRP,GCNT3,GOLM1,GPRC5A,GPX2,H1F0,HMGA1,IFT172,ITGA2,ITGA3,ITGB4,ITGB6,JUP,KCNK1,KLF5,KLK10,KLK11,KRT17,KRT19,KRT7,LAD1,LAMA3,LAMB3,LAMC2,LCN2,LDLR,LGALS3,LGALS4,LINC01133,LIPH,LLGL2,LMO7,LSR,MACC1,MACROD2,MAL2,MARCKSL1,MDK,MET,MGLL,MGST1,MLPH,MMP1,MSLN,MTRNR2L12,MTRNR2L8,MUC1,MUC13,MUC5AC,MUC5B,MYH14,NQO1,OCIAD2,OLFM4,ONECUT2,PDZK1IP1,PHGR1,PHLDA2,PI3,PIGR,PKP3,PLAT,PLS1,PMEPA1,PRSS8,PSCA,RAB11FIP1,RAB25,REG4,S100A14,S100A16,S100A2,S100A6,S100P,SDC1,SDC4,SDCBP2,SERINC2,SFN,SFTA2,SHROOM3,SLC44A4,SLPI,SMIM22,SPINT1,SPINT2,ST14,SYT8,TCN1,TFF1,TFF2,TFF3,TM4SF1,TMBIM1,TMC5,TMEM238,TMEM54,TMPRSS4,TRIM29,TSPAN1,TSPAN3,VSIG2,WFDC2,ZG16B
PDAC.Chiji.Endocrine	ABCC8,ADCYAP1,APLP1,ARFGEF3,ASB9,CACNA1A,CADM1,CHGA,CHGB,CRYBA2,DHRS2,DLK1,DNAJC12,EEF1A2,ELAVL4,ERO1B,G6PC2,GAD2,GNG4,IAPP,INSM1,MEIS2,MIR7-3HG,MLXIPL,MRLN,NEUROD1,NKX2-2,NOVA1,NPTX2,OTULINL,PAX6,PCLO,PCSK1,PCSK1N,PCSK2,PEG10,PFKFB2,PFN2,PPP1R1A,PTPRN,QPCT,RAB3B,RBP4,SAMD5,SCG2,SCG3,SCG5,SCGB2A1,SCGN,SHISAL2B,SLC30A8,SNAP25,STMN2,SYT13,SYT7,TPH1,TTR,UCHL1,VGF
PDAC.Chiji.Endothelial	ABI3,ACKR1,ACVRL1,ADAM15,ADCY4,ADGRF5,ADGRL4,ADM5,AIF1L,APLNR,ARHGAP29,ARHGEF15,ASS1,ATOH8,BMPR2,BTNL9,C1ORF54,CALCRL,CASKIN2,CAVIN2,CCDC85B,CCL14,CCN3,CD200,CD320,CD34,CD36,CD93,CDC37,CDC42EP3,CDH5,CFAP20,CLDN5,CLEC14A,CLIC2,CLIC4,COL15A1,CPLX1,CRIM1,CTNNAL1,CX3CL1,CYYR1,DEPP1,DIPK2B,DLC1,DLL4,DNASE1L3,DOCK9,DUSP6,ECE1,ECSCR,EFNA1,EFNB2,EGFL7,EHD4,ELK3,ELMO1,EMCN,EMP2,ENG,ENPP2,ENTPD1,ERG,ESAM,ETS2,F2RL3,FABP5,FAM107A,FAM110D,FAM167B,FAM43A,FCN3,FGD5,FKBP1A,FLT1,FRY,FZD4,GALNT18,GASK1B,GFOD1,GIMAP1,GIMAP4,GIMAP5,GIMAP6,GIMAP8,GJA1,GNG11,GPR146,GRB10,GSN,HECW2,HEG1,HEY1,HIF3A,HSPA12B,HSPG2,HYAL2,ICAM2,ID1,IFI16,IFITM1,IL33,IL3RA,IL6ST,INHBB,INSR,ITGA5,JAM2,KANK3,KDR,LDB2,LIFR,LIMCH1,LIMS2,LMO2,LPAR6,LRRC32,MAST4,MCF2L,MCTP1,MGST2,MMRN2,MRTFB,MTUS1,MYCT1,NCOA7,NDRG1,NECTIN2,NEDD9,NES,NKX2-3,NOSTRIN,NOTCH4,NPDC1,NRN1,NRP1,NUAK1,OSBPL1A,PALMD,PCDH17,PDE2A,PDLIM1,PIK3C2A,PIK3R3,PKP4,PLCB1,PLPP1,PLPP3,PLVAP,PLXND1,PODXL,PPFIBP1,PRCP,PREX2,PRKCH,PRMT1,PRX,PTPRB,PTPRG,PTPRM,RAB13,RAMP2,RAMP3,RAPGEF3,RAPGEF4,RASIP1,RBP5,RBP7,RCAN1,RDX,RGCC,RHOJ,ROBO4,RPGR,RPS6KA2,S1PR1,SASH1,SEC14L1,SELENON,SELENOW,SGK1,SH2D3C,SH3BGRL2,SH3BP5,SHANK3,SHE,SHROOM4,SLC14A1,SLC9A3R2,SLCO2A1,SNHG7,SNTB2,SOCS2,SOCS3,SOX17,SOX18,SOX7,SPRY1,SPTBN1,STC1,SWAP70,SYNPO,TACC1,TCIM,TEK,TGFBR2,TGFBR3,THBD,THSD7A,TIE1,TM4SF18,TMEM204,TMEM88,TMTC1,TNS2,TNXB,TSPAN7,UACA,VAMP5,VWA1,VWF,ZBTB16,ZNF385D
PDAC.Chiji.Fibroblast	ABCA8,ADAMTS2,ADH1B,ANTXR1,APOD,BOC,C1QTNF3,C3,C7,CALU,CCDC80,CCN1,CCN2,CD99,CDH11,CERCAM,CHPF,CLEC11A,COL10A1,COL11A1,COL12A1,COL16A1,COL1A1,COL5A1,COL6A3,COL8A1,COMP,CST1,CTHRC1,CTSK,CXCL14,CYBRD1,CYGB,CYP1B1,DDR2,DIO2,DPT,DPYSL3,EDIL3,EFEMP1,EFEMP2,ELN,EMILIN1,F2R,FAP,FBLN1,FBLN2,FBLN5,FBN1,FBXO32,FGF7,FGFR1,FIBIN,FKBP10,FKBP7,FNDC1,FSTL1,GAS1,GAS6,GJB2,GLT8D2,GPC3,GPX8,GREM1,HCFC1R1,HOPX,HTRA1,HTRA3,IGF1,IGFBP3,IGFBP6,IGFL2,IL1R1,INHBA,ISLR,ITGB5,ITGBL1,LAMA2,LAMB1,LAMP5,LGALS1,LOX,LOXL1,LRP1,LTBP2,LTBP4,LUM,LXN,MATN3,MFAP2,MFAP5,MMP11,MMP14,MMP2,MMP23B,MOXD1,MRC2,MXRA5,MXRA8,NBL1,NR2F1,NREP,NTM,OGN,OLFML2B,OLFML3,OMD,PAM,PDGFRA,PDGFRL,PDLIM2,PDLIM4,PDPN,PLAU,PLOD2,PLTP,PMP22,PODN,POSTN,PPIC,PRELP,PRRX1,PTGDS,PTK7,RAB34,RARRES1,RBMS3,RCN1,RCN3,RGS16,SELENOM,SEPTIN11,SERPINE1,SERPINE2,SERPINH1,SFRP2,SFRP4,SNAI2,SPOCK1,SPON2,SRPX,SSPN,SULF1,TCF21,THBS1,THBS2,TIMP2,TMEM119,TMEM45A,TNFAIP6,TSPAN4
PDAC.Chiji.Macrophage	ACP5,ACSL1,ACTB,ADAM8,AIF1,ALOX5,ALOX5AP,AP1S2,APBB1IP,APOC1,APOE,AQP9,ARPC5,ARRB2,ASAH1,ATP6V1B2,BASP1,BCL2A1,BCL6,BRI3,C1ORF162,C1QA,C1QB,C1QC,C3AR1,C5AR1,CAPG,CCL3,CCR1,CD14,CD163,CD300A,CD68,CD86,CEBPB,CELF2,CFP,CLEC4A,CLEC4E,CLEC7A,COTL1,CPVL,CSF1R,CSF2RA,CSF3R,CST3,CSTA,CSTB,CTSB,CTSC,CTSD,CTSL,CTSS,CTSZ,CXCL16,CXCL8,CYBB,CYTH4,DUSP1,EFHD2,EVI2B,FAM49B,FBP1,FCER1G,FCGR1A,FCGR2A,FCGR2B,FCGR3A,FCGR3B,FCGRT,FCN1,FGL2,FGR,FMNL1,FOS,FPR1,FPR3,FTH1,FTL,FYB1,G0S2,GCA,GK,GLIPR2,GLUL,GMFG,GNAI2,GPNMB,GPSM3,GRB2,GRN,H2AFY,H3F3A,HAVCR2,HCK,HCLS1,HLA-DRB5,HMOX1,IER3,IFI30,IGSF6,IL17RA,IL1B,IL1RN,IL6R,IRAK3,ITGAM,ITGAX,ITGB2,JAML,KCTD12,LAIR1,LCP1,LCP2,LILRB2,LILRB3,LILRB4,LIPA,LITAF,LRRC25,LRRK2,LSP1,LST1,LY96,LYN,LYZ,MAFB,MARCKS,MARCO,MBOAT7,MCL1,MEGF9,MNDA,MPEG1,MS4A4A,MS4A6A,MS4A7,MSR1,MSRB1,MXD1,MYO1F,NABP1,NAMPT,NCF1,NCF2,NCF4,NEAT1,NFKBIA,NIBAN1,NPC2,NPL,NUP214,OGFRL1,OLR1,OSM,P2RY13,PHACTR1,PHC2,PILRA,PLA2G7,PLAUR,PLEK,PLIN2,PLXNC1,PPT1,PSAP,PTAFR,PTGS2,PTPN6,PTPRE,PYCARD,PYGL,RASSF2,RETN,RGS10,RGS18,RGS2,RHOG,RIPOR2,RNASE6,RNASET2,RNF130,RNF149,S100A11,S100A12,S100A4,S100A8,S100A9,SAMHD1,SAT1,SDCBP,SELL,SIRPA,SLA,SLC11A1,SLC16A3,SLC25A37,SLC2A3,SLC43A2,SLC7A7,SLCO2B1,SMAP2,SMCHD1,SNX10,SOD2,SORL1,SPI1,SPP1,SRGN,STXBP2,SYK,TALDO1,TBXAS1,TGFBI,THEMIS2,TKT,TLR2,TMEM154,TNFRSF1B,TNFSF13B,TREM1,TREM2,TYMP,TYROBP,VASP,VIM,VNN2,VSIG4,WAS,ZEB2
PDAC.Chiji.Stellate	ABCC9,ACTG2,ADAMTS4,ADCY3,ADGRA2,ANGPT2,ANXA6,AOC3,ARHGEF17,ARID5B,AXL,C1QTNF1,CCDC102B,CCDC3,CDH6,CHN1,CNN1,COLEC11,COX4I2,CPM,CRYAB,CSPG4,CSRP1,CSRP2,DSTN,EBF1,ECM2,EDNRA,EDNRB,EFHD1,EGFL6,EHD2,ENPEP,EPS8,FAM162B,FBLIM1,FHL1,FHL5,FILIP1,FILIP1L,FLNA,FOXS1,GADD45B,GJA4,GJC1,GPR4,GPX3,GUCY1A1,GUCY1B1,HEYL,HIGD1B,HOXB-AS1,INAFM1,ITGA7,JAG1,KANK2,KCNE4,KCNJ8,KCNK17,KLHL23,LBH,LGI4,LMOD1,LPP,MAP3K20,MAP3K7CL,MSRB3,MT1A,MTHFD2,MYH11,NDUFA4L2,NFASC,NID1,NOTCH3,NR2F2,NR4A1,OAZ2,PARM1,PDGFA,PGF,PHLDA1,PKIG,PLAC9,PLN,PLXDC1,PPP1R12B,PPP1R14A,PRR16,PTGIR,PTMS,PTP4A3,RASL12,RBPMS,RCAN2,RERG,RERGL,RGS5,RHOB,RNF152,SEPTIN4,SEPTIN7,SERPINI1,SGCA,SH3BGRL,SLC38A11,SLC7A2,SLIT3,SMTN,STEAP4,SYNPO2,TBX2,TFPI,TINAGL1,TMEM38B,TNS1,TPPP3,UBA2,WFDC1,ZFHX3
PDAC.Chiji.Tcell	ACAP1,APOBEC3G,ARHGDIB,ARL4C,B2M,BCL11B,CCL4,CCL5,CCND2,CD2,CD247,CD3D,CD3E,CD3G,CD7,CD8A,CD8B,CD96,CLEC2D,CNOT6L,CREM,CST7,CTSW,DNAJB1,DUSP2,EEF1A1,EVL,FKBP11,FYN,GNLY,GPR171,GZMA,GZMB,GZMH,GZMK,GZMM,H3F3B,HCST,HIST1H4C,HSP90AA1,HSPA8,IKZF1,IL2RG,IL32,IL7R,ITGA4,JUND,KLRB1,KLRD1,LAT,LCK,LEPROTL1,MALAT1,MT-ATP6,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND3,MT-ND5,NKG7,PIK3IP1,PIK3R1,PPP2R5C,PRDM1,PRF1,PTPN7,RACK1,RGS1,RPL10,RPL11,RPL14,RPL19,RPL23A,RPL26,RPL28,RPL30,RPL32,RPL34,RPL35A,RPL37,RPL39,RPL41,RPL5,RPL6,RPL7A,RPLP1,RPS12,RPS14,RPS15,RPS15A,RPS19,RPS21,RPS25,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS6,RPS7,RUNX3,SARAF,SKAP1,SOCS1,SPOCK2,STK17B,STK4,SYTL3,TBC1D10C,TIGIT,TMSB4X,TNFAIP3,TPT1,TRAF3IP3,ZFP36L2
