Signature_name	Gene_list
U.Cancer	IL1B,TGFB1
U.Cancer.5-FU_resistance.down	APAF1,BAX,BBC3,BID,CCNE1,CD82,CHEK1,GADD45B,GADD45G,IGFBP3,IGFBP4,MDM2,MDM4,PPM1D,SERPINE1,SESN1,SESN2,STEAP1,TNS2,TP53
U.Cancer.5-FU_resistance.up	CCND1,CCNG2,CDK6,CYCS,DPYD,FAM200B,FOXM1,IGFBP6,RRM2B,RSRC2,SERPINB5,SFN,SIAH1,TCF4,TSPAN1,TYMP,TYMS,ZBED5
U.Cancer.5-FU_resistance.up_anti-apoptosis	BCL2,BIRC5
U.Cancer.5-FU_resistance.up_efflux	ABCB1,ABCC10,ABCG2,FOXM1
U.Cancer.5-FU_resistance.up_stemcell-like	KRT20,NANOG,PPARGC1A,YES1
U.Cancer.Ductal.malignant	C15ORF48,C19ORF33,CEACAM1,CEACAM5,CEACAM6,FXYD3,KRT19,MUC1,S100A6,S100P,TFF1,TFF2,TFF3
U.Cancer.gemcitabine_resistance	ABCB1,ABCC1,ABCC2,ABCC3,ABCC5,ABCG2,ANGPTL4,B3GNT5,CCND2,CDA,CTSH,GATA1,KLF6,MUC4,NT5C1A,PAX2,PPL,RRM1,RRM2,SAMD9,TYMS
U.Cancer.gemcitabine_resistance.anti-apoptotic	BCL2,BCL2L1,MCL1
U.Cancer.gemcitabine_sensitivity	DCK,SCUBE1,SLC28A1,SLC28A3,SLC29A1,WFDC1
U.Cancer.irinotecan_resistance.up	ABCG2
U.Cancer.kras_amplification.down	CLEC11A
U.Cancer.kras_amplification.up	ETNK1,KRAS,SINHCAF,TMEM185B
U.Cancer.kras_deletion.down	CMAS,GAK,MCOLN1,YARS2
U.Cancer.kras_deletion.up	HSDL2
U.Cancer.kras_mutation.down	ANKMY2,BTN3A2,BTN3A3,CTSF,FABP3,FKBPL,FOXRED2,GSTM3,KLHL22,MAP3K14,MERTK,PEX3,PGM1,PID1,RRAS2,TTC39A
U.Cancer.kras_mutation.negative_corr	ABI3BP,APOD,CPEB3,CST1,FBXO32,FNBP1,GCNT2,GLDN,IFITM3,ILK,ITGA8,LRRN2,PTN,RELN,RUNDC3B,SERTAD4,SLC36A1,SMPD1,TCF21,TRPM6
U.Cancer.kras_mutation.positive_corr	BUB1B,CDCA7,CDK2,CIT,ECT2,FOXM1,GMNN,HACD3,ILF3,KIF11,KNTC1,KRT6B,LIPG,MCM3,NUP37,NUSAP1,PBK,POP5,RFC5,RPL6,RPLP0,RPS5,SDHAF3,SHMT2,SLC12A2,SNRPD2,TIMELESS,TMPO,TRIP13,TROAP,TSFM,ZNF185
U.Cancer.kras_mutation.signature	ARL4C,ATP1B1,BAMBI,C5,CCDC92,CCND3,CD320,CDK19,CEBPA,CEBPD,COL4A1,CSNK1E,CTSL,DRAP1,DUSP6,FEZ2,GALE,GNPDA1,GRB10,HMGA2,KTN1,MMP1,MPC2,MTHFD2,NSDHL,PAFAH1B1,PAK4,PHKA1,PMAIP1,PPIC,RAP1GAP,RBM6,RGS2,SDHB,SSBP2,STX1A,TP53,TRIB3,UBE2L6,UFM1
U.Cancer.kras_mutation.up	ABL2,BMP4,CHML,DKK4,KRAS,PITX1,PPP2R2C,PTPRE,RUFY1,SLC1A5,SLC6A14,SMYD3,SNTB1,SP5,SPRY2,TOP1,TTC9,ZNF511
U.Cancer.nab-paclitaxel_resistance.down	ABCC4,ACY1,AKIP1,ALOX5,ARFGAP2,CHCHD4,COQ6,DAXX,ELFN2,EXOSC6,FABP1,G6PD,GATD1,GLTPD2,GMIP,GSTM4,HIST1H3F,HIST1H4B,HMBS,KCTD6,KRT8,MBD3,METRN,MRPS31,MST1R,NCLN,NT5DC2,NTHL1,PACSIN3,PDS5B,PKP3,PPP5C,PTPMT1,SAMD1,SDF2L1,SLC1A1,SLC43A1,SNRPC,TFF3,TMEM94,TXNL4A,YDJC,ZIC5,ZNF48
U.Cancer.nab-paclitaxel_resistance.up	ABCB1,ABRACL,AGT,ALPK3,AOC3,APOBEC3G,ARHGEF15,BEX3,CBS,CCDC71L,CFB,CFH,CFHR3,CHN1,CLDN10,CP,CPE,CPNE4,CTSO,CXCL3,DRICH1,DUOX1,EFEMP1,FAM117A,FAM177B,FAM43A,FBLN1,FKBP10,FOXD1,GBP4,GCNA,GCNT1,GRK3,GRTP1,HCAR3,HCLS1,HLA-DRA,ID2,ID3,IFI27,IFI44L,IFIH1,IFIT3,IGFBP3,IL16,ING3,IRF9,KCNJ14,KCNMB4,KLHDC7B,KLHL3,KRT23,LINC01116,LINC01559,LRRN1,LY6D,MCL1,MFSD2A,MX1,MX2,MYC,MYLIP,NANOS1,NFKBIA,NFKBIZ,NIBAN1,NTN4,PCF11,PDLIM4,PITPNB,PPP1R10,PPP1R14C,PREX1,PRRX2,PTGIS,RARRES1,RASD1,SAA2,SDSL,SECTM1,SELL,SERPINB3,SLC26A2,SLC6A14,SLCO2A1,SPINK1,SPOCK1,SPTSSA,TBX3,TGFB2,TSC22D3,TTLL1,USP18,VNN1,ZC3H12C
U.Cancer.nab-paclitaxel_resistance.up_specific-mention	IL18,IL20RB,MCL1,MYC
U.Cancer.oxaliplatin_resistance.down	SLC22A1,SLC22A2,SLC22A3,SLC31A1
U.Cancer.oxaliplatin_resistance.down_apoptosis	APAF1,BAX,BBC3,SERPINB5
U.Cancer.oxaliplatin_resistance.up	ABCC2,ATP7A,ATP7B
U.Cancer.oxaliplatin_resistance.up_anti-apoptosis	BIRC5,PCNA
U.Cancer.PDAC	BSG,CSF2,MMP7,MSLN,MUC1,SHH,TERT,WNT7B
U.Cancer.PDAC.basal	MUC16,TP63
U.Cancer.PDAC.classical	CYP3A5,GATA6
U.Cancer.PDAC.classical_progenitor	DLX2,FOXO4,HNF1A,PRDM6
U.Cancer.PDAC.exocrine	HNF1A
U.Cancer.PDAC.PanIN	CFTR,KRT19
U.Endocrine.Alpha	ARX,CRYBA2,FEV,GC,GCG,HMGB3,IRX2,KLHL41,LDB2,LOXL4,MAFB,PGR,PLCE1,PTGER3,RFX6,RGS4,SMARCA1,TM4SF4,TTR
U.Endocrine.Beta	ADCYAP1,BMP5,CDKN1C,DLK1,IAPP,INS,MAFA,MNX1,NPTX2,PDX1,PFKFB2,PIR,SIX2,SIX3,SMAD9,SYT13,TFCP2L1,TGFBR3
U.Endocrine.Delta	BCHE,BHLHE41,EHF,ERBB4,ETV1,FRZB,GABRG2,HHEX,ISL1,LCORL,LEPR,PCSK1,PDLIM4,POU3F1,PRG4,PSIP1,RBP4,RGS2,SST
U.Endocrine.Endocrine	CHGB,PCSK1N
U.Endocrine.Epsilon	ACSL1,ANXA13,ASGR1,GHR,TRPC4
U.Endocrine.Gamma	ACSL1,PPY,PYY
U.Endocrine.PP	AQP3,ARX,CARTPT,CHN2,EGR3,ENTPD2,ETV1,ID2,ID4,LMO3,MEIS1,MEIS2,PAX6,PPY,PTGFR,SERTM1,SLITRK6,THSD7A,ZNF503
U.Endothelial	ADAMTS9,ANGPTL4,ARL4A,BMX,CD36,CD74,CLEC14A,CLIC4,DOCK4,EMCN,FBLN2,FLT1,FLT4,GALNT18,GPM6A,HEY2,HLA-DRA,HLA-DRB1,HOXD3,IGFBP3,IGFBP7,KCTD12,KLHL4,LYVE1,MCTP1,MEF2C,MMRN1,NFATC1,NKAIN2,NTS,PDPN,PKHD1L1,PLEKHG1,PLS3,PLVAP,PROX1,PTPRE,RHOJ,SEMA3A,SEMA3D,SERPINB9,SERPINE2,SLCO2A1,SULF1,TCF4,VEGFC,VWF
U.Epithelial	DCLK1,POU2F3,TRPM5
U.Exocrine.Acinar	AMY2A,CAMK1D,CELA2B,CELA3A,CELA3B,CHN2,CHRM3,CLPS,CPA1,CPA2,CPB1,CTRC,DTNA,FOXP2,INSR,LRIG1,MAP3K5,PNLIP,PRSS1,PRSS3,RBPJL,REG1B,REG3A,REG3G,SDK1,SPINK1,SYCN
U.Exocrine.Acinar.regenerating	REG3A,REG3G,SYCN
U.Exocrine.Ductal	AMBP,ANXA4,BICC1,CFTR,CLU,CRISP3,FXYD2,GLIS3,KIT,LCN2,LEFTY1,MMP7,MUC5B,REG1A,SCTR,SERPINA5,SERPING1,SLC4A4,SOX9,TFF1,TFF2,TFF3,TSPAN8
U.Immune	AIF1,C1QA,CD14,CD3D,CD3G,CD74,CD79B,CD96,CSF2RA,CXCR4,ENPP3,HLA-DRA,HLA-DRB1,ITGAX,KIT,MNDA,PAX5,SKAP1,ZEB2
U.Immune.B_cell	MS4A1
U.Immune.DC.cDC1	CD4,XCR1
U.Immune.DC.cDC2	PLD4
U.Immune.DC.mregDC	IL12B
U.Immune.DC.pDC	CD4,ZFAT
U.Immune.Macrophage	CD163,CD274,CD68,CSF1R,FCER1G,MS4A6A
U.Immune.Macrophage.M0	AQP9,CYP27A1,MARCO,NCF2
U.Immune.Macrophage.M1	CD86,IFI44L,LILRB2,TNFRSF1B,TNFSF8
U.Immune.Macrophage.M2	CD163,FES,MRC1,MS4A6A,SIGLEC1,TGFB1,TGFBI,TGFBR2
U.Immune.Macrophage.TAM	CCL5,CSF1R,HLA-G,IL6,PDCD1LG2,TNF
U.Immune.Mast	CPA3
U.Immune.MDSC	ARG1,CSF1R,IL10,ITGAM,NOS2,PTGS2,TGFB1
U.Immune.Neutrophil.TAN	CXCR2
U.Immune.NK_cell	CD247,GZMA,GZMB,GZMK,NCAM1,NCR1,NKG7,PRF1,PTPRC
U.Immune.Plasma	CREB3L2
U.Immune.T_cell	PTPRC,SELL
U.Immune.T_cell.CD4	CD40LG,PTPRC
U.Immune.T_cell.CD8	CD3E,CD8A,CD8B,PTPRC
U.Immune.T_cell.effector	GZMA,GZMH
U.Immune.T_cell.exhausted	CD274,ENTPD1,IDO1,LAG3,PDCD1,TIGIT
U.Immune.T_cell.memory	IL7R,SELL
U.Immune.T_cell.naïve	CCR7,SELL
U.Immune.T_cell.regulatory	FOXP3,NT5E,PTPRC
U.Immune.T_cell.Treg	CTLA4,IL2RA,NRP1
U.Nervous	CDH19,CRYAB,PMP22,S100B,SCN7A,ZEB2
U.Pathway.chemoresistance	ABCC3,AQP5,CEACAM6,DUSP1,FGF19,KLK11,MUC13,OLFM4,TNFAIP2
U.Pathway.differentiation_altered	CD69,IL7R,ITGA4,SLAMF6,STAT4
U.Pathway.IFNA	CMPK2,EPSTI1,HERC5,IFI27,IFI44,IFI44L,IFIT1,MX1,OAS3,RSAD2
U.Pathway.IFNG	APOL6,CD274,CXCL10,CXCL9,GBP1,GBP2,GBP4,GBP5,IDO1,UBD
U.Pathway.Mesodermal_development	PRDM6,PRRX1,RUNX2
U.Pathway.MHCII	CD74,HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2
