Signature_name	Gene_list
U.Colon.CRC_Bcell	ANKRD28
U.Colon.CRC_Fibroblast	ACTA2,BGN,CALD1,IGFBP7,ITGB1,JUND,PTMA,RPL28,TAGLN,TPM4
U.Colon.CRC_Myeloid	HSP90AA1,IFI30,MALAT1,MT-ATP6,MT-CO2,MT-CO3,MT-ND2,MT-ND6,PLAUR,RGS1,SAT1
U.Colon.CRC_Stem_TA-like	ANKRD10,HNRNPH1,HSP90AA1,HSPA8,HSPH1,LYZ1,S100A11,SAT1
U.Colon.Endothelial	ENG
U.Colon.Epithelial	CDH19,CLDN7,KRT20,VIL1
U.Colon.Fibroblast	COL3A1,DCN,SPARC
U.Immune.Bcell	CD19,CD38,CD79A,DERL3,MZB1,PTPRC
U.Immune.M	ADGRE1,CD68,CSF1R,ITGAM
U.Immune.Mast	KIT,TPSB2
U.Immune.Myeloid	CCL3,CD14,CD68,ITGAX
U.Immune.NK	KLRB1B,NCR1
U.Immune.pDC	KLK1,SIGLECH
U.Immune.Tcell	CD3D,CD3E,CD3G,TRBC2
U.State.Glycolisis.enzyme	LDHA,PGAM1,PGK1,PKM,SLC2A1
U.State.Glycolisis.gluconeogenesis	ADH4,GPD1,PCK1,PPARG
U.State.Glycolisis.nuclear_pore_complex	DLAT,DLD,NDC1,NUP107,NUP153,NUP155,NUP160,NUP188,NUP35,NUP43,NUP50,NUP54,NUP98,PGM2,POM121,PPP2R1B,RANBP2
U.State.Hypoxia_Core_Long	ALDOC,ANG,ANKRD37,ANKZF1,ARFGEF3,BHLHE40,BNIP3,BNIP3L,CDK18,DDIT4,EFNA3,ENO2,FAM162A,FER1L4,FUT11,GBE1,GPR146,HK2,INSIG2,LRP1,MXI1,NDRG1,P4HA1,P4HA2,PDK1,PFKFB4,PPFIA4,PRSS53,SLC2A1,SLC2A3,VEGFA,VLDLR,YPEL1
U.State.Hypoxia_Core	BNIP3,BNIP3L,DDIT4,MXI1,P4HA2,PDK1,SLC2A1
U.State.Hypoxia_Hallmark	ACKR3,ADM,ADORA2B,AK4,AKAP12,ALDOA,ALDOB,ALDOC,AMPD3,ANGPTL4,ANKZF1,ANXA2,ATF3,ATP7A,B3GALT6,B4GALNT2,BCAN,BCL2,BGN,BHLHE40,BNIP3L,BRS3,BTG1,CAR12,CASP6,CAV1,CAVIN1,CAVIN3,CCN1,CCN2,CCN5,CCNG2,CDKN1A,CDKN1B,CDKN1C,CHST2,CHST3,CITED2,COL5A1,CP,CSRP2,CXCR4,DCN,DDIT3,DDIT4,DPYSL4,DTNA,DUSP1,EDN2,EFNA1,EFNA3,EGFR,ENO1,ENO2,ENO3,ERRFI1,ETS1,EXT1,F3,FAM162A,FBP1,FOS,FOSL2,FOXO3,GAA,GALK1,GAPDH,GAPDHS,GBE1,GCK,GCNT2,GLRX,GPC1,GPC3,GPC4,GRHPR,GYS1,HAS1,HDLBP,HEXA,HK1,HK2,HMOX1,HOXB9,HS3ST1,HSPA5,IDS,IER3,IGFBP1,IGFBP3,IL6,ILVBL,INHA,IRS2,ISG20,JMJD6,JUN,KDELR3,KDM3A,KIF5A,KLF6,KLF7,KLHL24,LALBA,LARGE1,LDHA,LDHC,LOX,LXN,MAFF,MAP3K1,MIF,MXI1,MYH9,NAGK,NCAN,NDRG1,NDST1,NDST2,NEDD4L,NFIL3,NOCT,NR3C1,P4HA1,P4HA2,PAM,PCK1,PDGFB,PDK1,PDK3,PFKFB3,PFKL,PFKP,PGAM2,PGF,PGK1,PGM1,PGM2,PHKG1,PIM1,PKLR,PKP1,PLAC8,PLAUR,PLIN2,PNRC1,PPARGC1A,PPFIA4,PPP1R15A,PPP1R3C,PRDX5,PRKCA,PYGM,RBPJ,RORA,RRAGD,S100A4,SAP30,SCARB1,SDC2,SDC3,SDC4,SELENBP1,SERPINE1,SIAH2,SLC25A1,SLC2A1,SLC2A3,SLC2A5,SLC37A4,SLC6A6,SRPX,STBD1,STC1,STC2,SULT2B1,TES,TGFB3,TGFBI,TGM2,TIPARP,TKTL1,TMEM45A,TNFAIP3,TPBG,TPD52,TPI1,TPST2,UGP2,VEGFA,VHL,VLDLR,WSB1,XPNPEP1,ZFP36
U.State.Hypoxia.angiogenesis	ADORA2B,ANGPTL4,EDN1,EPO,HMOX1,HMOX2,JMJD6,LOX,MMP9,SEMA7A,VEGFA
U.State.Hypoxia.angiogenesis-apoptosis_reg-proliferation_reg	BTG1
U.State.Hypoxia.angiogenesis-coagulation	ANXA2,F3,PLAU,SERPINE1
U.State.Hypoxia.angiogenesis-proliferation_reg	EGR1,PGF
U.State.Hypoxia.apoptosis_reg	BNIP3,IER3
U.State.Hypoxia.apoptosis_reg-proliferation_reg	ADM,NOS3,PIM1
U.State.Hypoxia.coagulation	F10,PAFAH1B1
U.State.Hypoxia.coagulation-metabolism	ALDOA
U.State.Hypoxia.coagulation-transporters_channels_receptors	SLC16A3
U.State.Hypoxia.differentiation	FOS,RBPJ,USF2
U.State.Hypoxia.DNA_damage_repair	ATR,NDRG1,RUVBL2
U.State.Hypoxia.DNA_damage_repair-apoptosis_reg-proliferation_reg	MIF
U.State.Hypoxia.HIF_interactors	APEX1,EGLN1,EGLN2,NFKB1,P4HA1,P4HB
U.State.Hypoxia.metabolism	CP,CTSA,ENO1,GBE1,GYS1,HK2,LDHA,PDK1,PFKFB3,PFKP,PGAM1,PGK1,PKM,TPI1
U.State.Hypoxia.metabolism-apoptosis_reg	DDIT4
U.State.Hypoxia.metabolism-transporters_channels_receptors	SLC2A1,SLC2A3
U.State.Hypoxia.other_response	ANKRD37,CAR9,DNAJC5,EIF4EBP1,LGALS3,MAP3K1
U.State.Hypoxia.proliferation_reg	BLM,CCNG2,IGFBP3,MET,MXI1,NAMPT,ODC1,TXNIP
U.State.Hypoxia.transcription_TFs	ARNT,COPS5,EPAS1,HIF1A,HIF1AN,HIF3A,HNF4A,NCOA1,PER1
